UnitID,Institution,Zipcode,Long,Lat,City,Total Aid Avg,Total Aid,Pct Students Get Aid,Students Get Aid,SAT RW 25,SAT RW 50,SAT RW 75,SAT M 25,SAT M 50,SAT M 75,ACT 25,ACT 50,ACT75,ACT E 25,ACT E 50,ACT E 75,ACT M 25,ACT M 50,ACT M 75,Num SAT,Pct SAT,Num ACT,Pct ACT,Num Students,Men Total,Women Total,AmInd,AmInd Men,AmInd Women,Asian,Asian Men,Asian Women,Black,Black Men,Black Women,Hisp,Hisp Men,Hisp Women,PacIs,PacIs Men,PacIs Women,White,White Men,White Women,Multiracial,Multiracial Men,Multiracial Women,Unknown,Unknown Men,Unknown Women,Nonres,Nonres Men,Nonres Women,Student-Faculty Ratio
210571,Albright College,19612-5234,-75.909742,40.361351,Reading,21786,26687486,96,1225,,,,,,,,,,,,,,,,,,,,1215,547,668,2,1,1,32,10,22,278,141,137,247,86,161,0,0,0,542,256,286,83,34,49,11,6,5,20,13,7,10
210669,Allegheny College,16335-3902,-80.147168,41.64869,Meadville,42410,56023060,100,1321,600,640,690,540,610,660,25,29,31,22,28,35,21,25,27,37,13,27,10,1151,561,590,1,1,0,34,8,26,89,57,32,93,41,52,0,0,0,809,388,421,44,24,20,25,7,18,56,35,21,8
210492,Bryn Athyn College of the New Church,19009-0717,-75.060808,40.134393,Bryn Athyn,18463,4818842,96,261,510,605,688,550,569,610,,,,,,,,,,26,35,2,3,267,136,131,0,0,0,10,4,6,42,19,23,16,8,8,0,0,0,161,86,75,8,2,6,23,11,12,7,6,1,8
211273,Bryn Mawr College,19010,-75.313223,40.02736,Bryn Mawr,42011,43480988,74,1035,670,710,740,630,680,730,30,32,33,31,34,35,26,29,32,220,61,85,24,1344,0,1344,1,0,1,154,0,154,68,0,68,137,0,137,0,0,0,673,0,673,96,0,96,38,0,38,177,0,177,8
211291,Bucknell University,17837,-76.882616,40.954317,Lewisburg,41269,90668961,59,2197,640,680,710,660,690,740,31,32,33,31,34,35,27,29,31,275,27,102,10,3813,1799,2014,1,1,0,172,65,107,167,97,70,304,133,171,1,1,0,2845,1322,1523,152,69,83,2,2,0,169,109,60,9
211608,Cheyney University of Pennsylvania,19319-0200,-75.529262,39.932274,Cheyney,15896,9712429,89,611,,,,,,,,,,,,,,,,,,,,662,220,442,2,2,0,7,2,5,568,191,377,16,6,10,0,0,0,5,1,4,50,14,36,12,4,8,2,0,2,15
212009,Dickinson College,17013-2896,-77.197854,40.202796,Carlisle,42022,78749426,90,1874,,,,,,,,,,,,,,,,0,0,0,0,2152,856,1296,0,0,0,109,26,83,83,35,48,161,56,105,2,1,1,1399,553,846,92,36,56,20,12,8,286,137,149,9
212577,Franklin and Marshall College,17604-3003,-76.319037,40.048045,Lancaster,51045,64163824,63,1257,658,700,730,640,690,730,29,31,32,29,33,35,27,28,31,173,31,50,9,1902,901,1001,4,2,2,93,37,56,97,36,61,193,84,109,0,0,0,1105,524,581,69,42,27,14,8,6,327,168,159,9
212674,Gettysburg College,17325,-77.236792,39.836597,Gettysburg,43319,97640876,95,2254,630,680,720,610,670,740,27,29,32,27,32,34,23,27,31,205,34,40,7,2207,1079,1128,3,3,0,60,21,39,110,51,59,246,90,156,2,1,1,1409,713,696,64,34,30,56,31,25,257,135,122,10
212805,Grove City College,16127-2104,-80.081481,41.1558,Grove City,8500,12596710,69,1482,566,630,684,562,621,690,23,27,31,22,27,33,21,25,29,289,52,98,18,2203,1142,1061,0,0,0,46,16,30,10,6,4,15,11,4,0,0,0,1992,1034,958,111,57,54,0,0,0,29,18,11,13
212911,Haverford College,19041-1392,-75.305207,40.007452,Haverford,60617,37097831,43,612,710,730,760,720,760,780,33,34,35,33,35,35,30,32,34,148,40,51,14,1419,615,804,0,0,0,175,70,105,73,26,47,175,64,111,0,0,0,691,314,377,141,60,81,11,5,6,153,76,77,8
213251,Juniata College,16652-2196,-78.017292,40.500523,Huntingdon,41366,46164856,100,1116,550,600,660,520,580,620,22,25,29,21,24,26,21,24,27,146,37,19,5,1174,564,610,1,0,1,25,17,8,57,30,27,90,39,51,1,1,0,808,377,431,43,22,21,40,20,20,109,58,51,10
213303,Keystone College,18440-0200,-75.777456,41.558969,La Plume,6973,7390926,100,1060,460,520,570,450,510,560,,,,,,,,,,11,6,0,0,717,411,306,8,2,6,6,3,3,122,107,15,24,13,11,1,1,0,493,252,241,26,15,11,29,16,13,8,2,6,12
213385,Lafayette College,18042-1768,-75.209786,40.69956,Easton,43853,69287492,58,1580,670,700,730,670,710,760,30,32,33,31,34,35,27,30,32,217,31,99,14,2734,1394,1340,4,2,2,102,44,58,153,94,59,241,116,125,0,0,0,1867,942,925,125,60,65,55,37,18,187,99,88,10
213668,Lycoming College,17701-5192,-77,41.24666,Williamsport,40219,42230370,100,1050,540,595,643,530,570,630,23,25,30,22,28,29,20,21,27,86,29,7,2,1044,498,546,1,0,1,15,3,12,114,65,49,128,55,73,0,0,0,674,321,353,39,21,18,48,24,24,25,9,16,11
214166,Mount Aloysius College,16630-1999,-78.600898,40.459679,Cresson,16249,16671706,95,1026,445,520,540,455,510,565,15,20,24,15,21,23,20,22,24,33,10,8,2,1033,306,727,4,1,3,12,7,5,41,20,21,6,2,4,1,0,1,747,187,560,0,0,0,143,39,104,79,50,29,12
214175,Muhlenberg College,18104,-75.508502,40.596416,Allentown,37685,68850298,95,1827,630,670,710,600,640,690,28,30,31,27,30,33,25,26,30,140,33,45,11,1747,704,1043,0,0,0,63,22,41,88,40,48,196,71,125,0,0,0,1251,507,744,71,30,41,55,25,30,23,9,14,8
215798,Saint Vincent College,15650-2690,-79.403762,40.29265,Latrobe,29633,39707633,100,1340,500,560,613,493,550,618,21,24,25,21,23,25,17,22,26,159,55,22,8,1247,749,498,0,0,0,18,6,12,73,63,10,61,40,21,2,1,1,1003,581,422,42,25,17,28,21,7,20,12,8,10
216278,Susquehanna University,17870-1025,-76.875329,40.797502,Selinsgrove,43264,91502376,99,2115,550,620,660,540,590,630,22,25,31,22,25,33,18,24,28,259,45,32,6,2106,916,1190,2,2,0,34,11,23,137,80,57,156,65,91,2,1,1,1630,688,942,67,31,36,50,24,26,28,14,14,13
216287,Swarthmore College,19081,-75.354278,39.905159,Swarthmore,57170,55740884,58,975,720,750,770,740,780,790,33,34,34,34,35,35,31,33,35,168,40,57,14,1626,789,837,7,3,4,285,144,141,153,68,85,246,116,130,1,0,1,480,221,259,180,82,98,43,28,15,231,127,104,8
216357,Thiel College,16125-2181,-80.384383,41.41354,Greenville,26991,20944633,100,776,,,,,,,,,,,,,,,,,,,,766,393,373,2,2,0,7,2,5,81,66,15,17,10,7,2,1,1,612,282,330,28,20,8,17,10,7,0,0,0,12
216524,Ursinus College,19426-1000,-75.456505,40.193023,Collegeville,41018,60747932,98,1481,600,660,700,560,620,660,28,31,32,26,31,34,24,26,29,107,26,24,6,1473,766,707,4,2,2,49,19,30,115,66,49,102,54,48,0,0,0,1103,570,533,65,35,30,31,17,14,4,3,1,9
216667,Washington & Jefferson College,15301,-80.24049,40.170622,Washington,36601,41578710,100,1136,,,,,,,,,,,,,,,,,,,,1151,618,533,4,3,1,23,12,11,80,55,25,68,38,30,2,0,2,882,468,414,77,33,44,0,0,0,15,9,6,10
216807,Westminster College,16172,-80.331017,41.119272,New Wilmington,30544,30788486,100,1008,,,,,,,,,,,,,,,,,,,,1049,503,546,5,3,2,10,3,7,61,46,15,44,27,17,1,1,0,836,374,462,47,25,22,44,23,21,1,1,0,12